CustomerID,CustomerName,PrimoCustomer,RegionID
1,Thomas Mcknight,No,3
2,Alexandra Bryan,No,3
3,Jax Haynes,No,3
4,Misael Diaz,Yes,3
5,Haiden Murillo,No,3
6,Alexus Richardson,No,3
7,Macie Clay,Yes,3
8,Jaylin Mcfarland,No,3
9,Hugh Vang,Yes,3
10,Jasmin Parsons,No,3
11,Mariana Meadows,Yes,3
12,August Blanchard,No,3
13,Alani Arroyo,No,7
14,Alessandro Wyatt,No,7
15,Carissa Little,No,7
16,Hana Crosby,No,6
17,Alfonso Nolan,No,6
18,Camren Mays,Yes,3
19,Aedan Whitehead,Yes,3
20,Alani Parsons,Yes,2
21,Maximo Nguyen,Yes,2
22,Mallory Nolan,No,7
23,Maximo Hutchinson,No,7
24,Trevin Arnold,No,6
25,Aurora Avila,No,6
26,Maverick Adams,No,3
27,Anderson Bowman,No,3
28,Alfonso Reed,No,3
29,Alfonso Thornton,No,3
30,Rebekah Hood,No,3
31,Franco Lara,Yes,3
32,Aylin Figueroa,Yes,3
33,Maximo Anthony,Yes,3
34,Paityn Santos,No,3
35,Sariah Sloan,No,3
36,Vanessa Frederick,Yes,3
37,Amani James,No,6
38,Hillary Browning,No,2
39,Shaylee Gutierrez,Yes,3
40,Emery Meyer,No,3
41,Aylin Mcfarland,Yes,7
42,Vance Bullock,No,6
43,Belen Richardson,No,6
44,Saige Kennedy,No,6
45,Juan Meadows,No,3
46,Hugh Gonzales,Yes,3
47,Jovany Griffin,Yes,3
48,Reilly Thornton,No,3
49,Makayla Randall,Yes,3
50,Alessandro Bryan,No,6
51,Franco Hicks,Yes,3
52,Gwendolyn Vang,No,3
53,Jakobe Mcdonald,No,3
54,Dalton Rice,Yes,6
55,Jaylen Haynes,Yes,3
56,Emery Ho,No,3
57,Audrina Acosta,No,3
58,Reilly Weiss,Yes,3
59,Lilliana Carson,No,3
60,Jakobe Jacobson,No,3
61,Aydin Acosta,No,3
62,Catalina Nolan,Yes,3
63,Sidney Mcdaniel,Yes,7
64,Jaiden Rice,No,7
65,Vaughn Barber,No,6
66,Ryland Bennett,Yes,6
67,Azaria Wise,Yes,7
68,Malachi Dunn,Yes,7
69,Aedan Edwards,No,3
70,Jacey Weiss,No,3
71,Phoebe Clay,No,3
72,Maverick Odom,No,3
73,Gwendolyn Harper,Yes,3
74,Demetrius Ball,No,3
75,Aydin Crosby,No,3
76,Aydin Haley,No,3
77,Alaina Wise,No,3
78,Reid James,No,3
79,Hugh Bennett,No,2
80,Vanessa Nguyen,Yes,3
81,Catalina Rojas,No,3
82,Reilly Ho,No,6
83,Frederick Cervantes,Yes,6
84,Alessandro Short,No,6
85,Journey Murillo,No,7
86,Ryland Mack,No,6
87,Cooper Diaz,No,6
88,Sariah Preston,No,6
89,Jacey Lane,No,6
90,Alfonso Sloan,Yes,6
91,Abigayle Mcdonald,No,6
92,Jaylene Rosales,Yes,2
93,Marley Blanchard,Yes,3
94,Roy Holmes,Yes,3
95,Thomas Kennedy,Yes,3
96,Maximo Santos,No,3
97,Yahir Preston,Yes,3
98,Bailey Wise,No,3
99,Audrina Lynn,Yes,3
100,Maverick Vang,Yes,3
101,Jaylen Sweeney,No,3
102,Azaria Cantu,Yes,3
103,Alaina Thornton,No,3
104,Mason Parker,No,3
105,Braiden Anthony,No,3
106,Luka Rose,Yes,3
107,Vaughn Andrade,No,3
108,Christian Myers,Yes,3
109,Amani Murillo,Yes,3
110,Lorenzo Arias,Yes,3
111,Haiden Morris,No,3
112,Mariana Mccarty,No,3
113,August Hicks,No,3
114,Aydin Barnett,Yes,3
115,Quentin Hanna,No,3
116,Ulises Brandt,No,3
117,Celia Meyer,No,3
118,Vanessa Owens,Yes,3
119,Rudy Ayala,No,3
120,Makayla Allen,No,3
121,Camren Harper,No,3
122,Trevin Morris,No,3
123,Destiny Bradley,No,3
124,Aurora Norman,Yes,3
125,Maximo Vaughn,Yes,3
126,Elvis Mcdaniel,No,3
127,Rachael Horton,Yes,3
128,Karli Parker,Yes,6
129,Malachi Woodard,Yes,7
130,Cooper Nguyen,No,7
131,Jaylene Santos,No,7
132,Paula Chandler,No,2
133,Lilliana Weiss,No,2
134,Reilly Little,No,7
135,Karla Moss,No,3
136,Juan Acosta,Yes,6
137,Aedan Dennis,No,2
138,Bridger Garrison,No,7
139,Paityn Mcfarland,No,6
140,Alani Wise,No,3
141,Timothy Brandt,Yes,6
142,Yasmine Woodard,No,6
143,Jakobe Meyers,No,2
144,Paloma Padilla,No,6
145,James Serrano,No,7
